#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/nthukus/.conda/envs/iphop/bin/metaphlan m4_38pos_S195_R1_001.fastq.gz,m4_38pos_S195_R2_001.fastq.gz --bowtie2out m4_38pos_S195_R1_001.fastq.gz.bowtie2.bz2 --bowtie2db /scratchbeta/nthukus/metaphlan-4.0.3 --nproc 42 --input_type fastq -o m4_38pos_S195_R1_001.fastq.gz.tsv -s m4_38pos_S195_R1_001.fastq.gz.sam.bz2
#9047429 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.80561	
k__Archaea	2157	0.19439	
k__Bacteria|p__Firmicutes	2|1239	83.87696	
k__Bacteria|p__Actinobacteria	2|201174	8.48389	
k__Bacteria|p__Bacteroidetes	2|976	3.90304	
k__Bacteria|p__Proteobacteria	2|1224	2.2041	
k__Bacteria|p__Verrucomicrobia	2|74201	1.3293	
k__Archaea|p__Euryarchaeota	2157|28890	0.19439	
k__Bacteria|p__Tenericutes	2|544448	0.00706	
k__Bacteria|p__Lentisphaerae	2|256845	0.00125	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	65.59241	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.87011	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.21134	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.8834	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.27256	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	2.75861	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	1.76615	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.3293	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.12883	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.98534	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.93161	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.81033	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.7956	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.75865	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.55187	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.53432	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.45416	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.36547	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.34864	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.28658	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.23738	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.19439	
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.18689	
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	0.17202	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.16848	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.13776	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.1327	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.09845	
k__Bacteria|p__Firmicutes|c__CFGB3071	2|1239|	0.09441	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.08111	
k__Bacteria|p__Firmicutes|c__CFGB75922	2|1239|	0.04321	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.04114	
k__Bacteria|p__Firmicutes|c__CFGB1470	2|1239|	0.0334	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.01287	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.00906	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00883	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.00706	
k__Bacteria|p__Bacteroidetes|c__CFGB76022	2|976|	0.00677	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00464	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.00279	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.00204	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00125	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	65.02866	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.70507	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.8834	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	3.172	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.94952	
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	2|1239||	2.75861	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.26182	
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	1.76615	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.3293	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.98534	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.93161	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.81033	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.7956	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.79523	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.75865	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.55187	
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.53432	
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.45416	
k__Bacteria|p__Firmicutes|c__CFGB1320|o__OFGB1320	2|1239||	0.34864	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.3336	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.32035	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.28889	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.28658	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.2434	
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	2|1239||	0.23738	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.19439	
k__Bacteria|p__Firmicutes|c__CFGB1213|o__OFGB1213	2|1239||	0.18689	
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626	2|1239||	0.17202	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.16848	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.16504	
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.13776	
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954	2|1239||	0.1327	
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	2|1239||	0.09845	
k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071	2|1239||	0.09441	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.08111	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.07658	
k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922	2|1239||	0.04321	
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	0.04114	
k__Bacteria|p__Firmicutes|c__CFGB1470|o__OFGB1470	2|1239||	0.0334	
