#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.74776999999997
d__Archaea	0.01169
d__Bacteria;p__Firmicutes_A	88.55561999999999
d__Bacteria;p__Bacteroidota	4.331740000000001
d__Bacteria;p__Actinobacteriota	4.39285
d__Bacteria;p__Firmicutes_C	1.00339
d__Bacteria;p__Verrucomicrobiota	0.73915
d__Bacteria;p__Firmicutes	0.51103
d__Bacteria;p__Firmicutes_B	0.08134
d__Bacteria;p__Proteobacteria	0.09409000000000001
d__Bacteria;p__Desulfobacterota_I	0.03856
d__Archaea;p__Methanobacteriota	0.01169
d__Bacteria;p__Firmicutes_A;c__Clostridia	88.55561999999999
d__Bacteria;p__Bacteroidota;c__Bacteroidia	4.331740000000001
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	3.25842
d__Bacteria;p__Firmicutes_C;c__Negativicutes	1.00339
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.73915
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	1.13443
d__Bacteria;p__Firmicutes;c__Bacilli	0.51103
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.08134
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.07
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.03856
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.02409
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.01169
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	51.670629999999996
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	31.035850000000003
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	4.331740000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	3.49423
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	3.25842
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	1.00339
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	1.4676800000000003
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	0.8830399999999999
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.73915
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales	0.55788
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	0.5765499999999999
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	0.33816
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.10513
d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales	0.08134
