#mpa_vOct22_CHOCOPhlAnSGB_202212
#clade_name	relative_abundance
d__Bacteria	99.94145
d__Archaea	0.05854
d__Bacteria;p__Firmicutes_A	85.51549
d__Bacteria;p__Actinobacteriota	6.4351
d__Bacteria;p__Firmicutes	4.64572
d__Bacteria;p__Bacteroidota	2.32278
d__Bacteria;p__Verrucomicrobiota	0.71129
d__Bacteria;p__Firmicutes_C	0.30274
d__Archaea;p__Methanobacteriota	0.05854
d__Bacteria;p__Proteobacteria	0.00751
d__Bacteria;p__Firmicutes_B	0.00082
d__Bacteria;p__Firmicutes_A;c__Clostridia	85.51549
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	3.32258
d__Bacteria;p__Firmicutes;c__Bacilli	4.64572
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	3.1125200000000004
d__Bacteria;p__Bacteroidota;c__Bacteroidia	2.32278
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.71129
d__Bacteria;p__Firmicutes_C;c__Negativicutes	0.30274
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.05854
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.00751
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.00082
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	36.025929999999995
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	38.848229999999994
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	9.08432
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales	3.26964
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	4.36421
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	3.1125200000000004
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	2.32278
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.71129
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	1.4025100000000001
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	0.30274
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.1545
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.26472
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.05854
