#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz	m2_30pos_S193_R1_001.fastq.gz	m3_38neg_S194_R1_001.fastq.gz	m4_38pos_S195_R1_001.fastq.gz	m5_43neg_S196_R1_001.fastq.gz	m6_43pos_S197_R1_001.fastq.gz	m7_98neg_S198_R1_001.fastq.gz	m8_98pos_S199_R1_001.fastq.gz
k__Bacteria	99.98831	99.96597	99.55772	99.80561	100.0	100.0	99.76671	99.94146
k__Archaea	0.01169	0.03403	0.44228	0.19439	0.0	0.0	0.23329	0.05854
k__Bacteria|p__Firmicutes	86.45114	84.52878	85.10236	83.87696	88.26283	84.08039	88.73346	83.65584
k__Bacteria|p__Actinobacteria	6.32733	9.9778	7.37226	8.48389	5.6993	8.90482	4.99977	10.40957
k__Bacteria|p__Bacteroidetes	5.04648	3.3669	3.5765	3.90304	4.40342	4.15442	4.01005	3.92563
k__Bacteria|p__Proteobacteria	1.42421	1.22411	2.41258	2.2041	0.79979	2.19364	1.43818	1.23914
k__Bacteria|p__Verrucomicrobia	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
k__Archaea|p__Euryarchaeota	0.01169	0.03403	0.44228	0.19439	0.0	0.0	0.23329	0.05854
k__Bacteria|p__Firmicutes|c__Clostridia	77.67367	55.98054	65.9928	65.59241	79.04433	65.61791	73.21867	60.00347
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	5.19289	7.01362	6.99386	5.21134	5.6993	5.57491	4.42664	6.98703
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4.96514	3.3669	3.35306	3.8834	4.40342	4.15442	3.64937	3.92563
k__Bacteria|p__Firmicutes|c__Bacilli	4.00826	13.26814	5.43336	5.87011	4.83436	6.4956	5.16927	8.41978
k__Bacteria|p__Firmicutes|c__CFGB38642	2.55124	1.42617	7.34028	0.81033	4.26698	0.66318	5.63557	1.08367
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1.13444	2.96418	0.37116	3.27256	0.0	3.3299	0.57314	3.42253
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1.10909	0.40773	1.88551	0.98534	0.29674	1.26443	1.08583	0.31025
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.63922	0.3502	4.15674	0.55187	0.11716	0.17215	2.75713	0.31295
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.25248	0.81639	0.2989	1.12883	0.50305	0.9292	0.25211	0.92889
k__Bacteria|p__Firmicutes|c__CFGB3068	0.19794	1.325	0.06132	1.76615	0.0	1.19013	0.0749	1.9969
k__Bacteria|p__Firmicutes|c__CFGB3529	0.15404	0.34334	0.22032	0.45416	0.0	0.37734	0.20098	0.50455
k__Bacteria|p__Firmicutes|c__CFGB9718	0.1511	0.11562	0.15653	0.13776	0.0	0.12217	0.16178	0.07975
k__Bacteria|p__Firmicutes|c__CFGB10477	0.13857	0.0	0.07482	0.00204	0.0	0.00866	0.105	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.12606	0.28964	0.00501	0.28658	0.0	0.30718	0.0599	0.21484
k__Bacteria|p__Firmicutes|c__CFGB1213	0.10411	0.14336	0.06417	0.18689	0.0	0.1685	0.10181	0.19842
k__Bacteria|p__Firmicutes|c__CFGB2954	0.10071	0.04512	0.33329	0.1327	0.0	0.0346	0.15362	0.0929
k__Bacteria|p__Firmicutes|c__CFGB76465	0.0923	0.24065	0.13709	0.23738	0.0	0.13877	0.04694	0.2425
k__Bacteria|p__Firmicutes|c__CFGB31626	0.08355	0.08503	0.14582	0.17202	0.0	0.04911	0.1583	0.09478
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.08134	0.0	0.16971	0.01287	0.0	0.0	0.32734	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507	0.06232	0.0	0.23057	0.0	0.0	0.0	0.19755	0.0
k__Bacteria|p__Firmicutes|c__CFGB2932	0.04422	0.0161	0.07957	0.09845	0.0	0.0	0.05511	0.0
