#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	m1_30neg_S192_R1_001.fastq.gz.tsv.gtdb	m2_30pos_S193_R1_001.fastq.gz.tsv.gtdb	m3_38neg_S194_R1_001.fastq.gz.tsv.gtdb	m4_38pos_S195_R1_001.fastq.gz.tsv.gtdb	m5_43neg_S196_R1_001.fastq.gz.tsv.gtdb	m6_43pos_S197_R1_001.fastq.gz.tsv.gtdb	m7_98neg_S198_R1_001.fastq.gz.tsv.gtdb	m8_98pos_S199_R1_001.fastq.gz.tsv.gtdb
d__Bacteria	99.74776999999996	99.96595000000002	99.55773	99.80559	100.00002	100.00002	99.68094999999998	99.94145
d__Archaea	0.01169	0.03403	0.4422899999999999	0.1944	0.0	0.0	0.23329	0.05854
d__Bacteria;p__Firmicutes_A	88.55561999999999	86.06779000000002	86.65993999999999	85.02365	90.73279	85.76205999999998	90.19731	85.51549
d__Bacteria;p__Bacteroidota	4.331740000000001	1.92409	2.16843	3.30514	4.90647	3.19789	3.11046	2.32278
d__Bacteria;p__Actinobacteriota	4.39285	5.762080000000001	5.551290000000001	5.76195	3.22936	6.54585	3.0277400000000005	6.4351
d__Bacteria;p__Firmicutes_C	1.00339	0.39042	1.57147	0.98534	0.29674	1.15398	0.99962	0.30274
d__Bacteria;p__Verrucomicrobiota	0.73915	0.86772	1.07169	1.33055	0.83466	0.66674	0.57993	0.71129
d__Bacteria;p__Firmicutes	0.51103	4.93654	1.81288	3.2870900000000005	0.0	2.563060000000001	1.29181	4.64572
d__Bacteria;p__Firmicutes_B	0.08134	0.0	0.20303	0.0219299999999999	0.0	0.0	0.32734	0.00082
d__Bacteria;p__Proteobacteria	0.09409	0.01731	0.35755	0.08111	0.0	0.11044	0.05626	0.00751
d__Bacteria;p__Desulfobacterota_I	0.03856	0.0	0.16145	0.00883	0.0	0.0	0.09048	0.0
d__Archaea;p__Methanobacteriota	0.01169	0.03403	0.4422899999999999	0.1944	0.0	0.0	0.23329	0.05854
d__Bacteria;p__Firmicutes_A;c__Clostridia	88.55561999999999	86.06779000000002	86.65993999999999	85.02365	90.73279	85.76205999999998	90.19731	85.51549
d__Bacteria;p__Bacteroidota;c__Bacteroidia	4.331740000000001	1.92409	2.16843	3.30514	4.90647	3.19789	3.11046	2.32278
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	3.25842	2.9271200000000004	5.1801200000000005	2.58995	3.22936	3.29061	2.454600000000001	3.1125200000000004
d__Bacteria;p__Firmicutes_C;c__Negativicutes	1.00339	0.39042	1.57147	0.98534	0.29674	1.15398	0.99962	0.30274
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.73915	0.86772	1.07087	1.3293	0.83466	0.66674	0.57993	0.71129
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	1.13443	2.83496	0.3711699999999999	3.172	0.0	3.25524	0.57314	3.32258
d__Bacteria;p__Firmicutes;c__Bacilli	0.51103	4.93654	1.81288	3.2870900000000005	0.0	2.563060000000001	1.29181	4.64572
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.08134	0.0	0.20303	0.0219299999999999	0.0	0.0	0.32734	0.00082
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.07	0.01731	0.2796	0.0	0.0	0.11044	0.05626	0.00751
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.03856	0.0	0.16145	0.00883	0.0	0.0	0.09048	0.0
