Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	m1_30_neg	m2_30_pos	m3_38_neg	m4_38_pos	m5_43_neg	m6_43_pos	m7_98_neg	m8_98_pos
no rank_root|no rank_root	no rank_1|no rank_1	2985175.0	3843212.0	3040302.0	3840946.0	302305.0	3150811.0	4718202.0	3070021.0
no rank_root|no rank_cellular organisms	no rank_1|no rank_131567	2941079.0	3746467.0	3000959.0	3777393.0	300445.0	3098261.0	4648128.0	3008205.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria	no rank_1|no rank_131567|superkingdom_2	2925566.0	3731309.0	2962719.0	3759403.0	291949.0	3070838.0	4552458.0	2966749.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group	no rank_1|no rank_131567|superkingdom_2|clade_1783272	2680545.0	3550984.0	2755648.0	3499159.0	266633.0	2885338.0	4221564.0	2809258.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239	2546719.0	3333595.0	2586137.0	3316224.0	256288.0	2719838.0	4056334.0	2641651.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801	2080814.0	2826084.0	2069636.0	2908527.0	215436.0	2395065.0	3242715.0	2298059.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802	2080814.0	2826084.0	2069636.0	2908527.0	215436.0	2395065.0	3242715.0	2298059.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803	895678.0	1292111.0	816328.0	1425541.0	97425.0	1244420.0	1372345.0	1059477.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511	278221.0	271934.0	178555.0	249369.0	17545.0	249871.0	404345.0	207463.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079	88849.0	33825.0	38775.0	33962.0	6625.0	45285.0	96892.0	30916.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. AF19-10LB	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_2292961	69347.0	761.0	30300.0	2229.0	6201.0	1675.0	71842.0	846.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. SG-772	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_2109334	11722.0	23507.0	5763.0	20858.0	424.0	29093.0	14786.0	22331.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. OF03-15BH	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_2292287	2826.0	1947.0	783.0	5227.0	0.0	6271.0	5497.0	1307.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. Marseille-P3087	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_1917876	4953.0	7609.0	1926.0	5647.0	0.0	8245.0	4765.0	6431.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_environmental samples	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_765820	59213.0	74219.0	37671.0	74733.0	3657.0	75946.0	81697.0	55501.0
