Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	m1_30_neg	m2_30_pos	m3_38_neg	m4_38_pos	m5_43_neg	m6_43_pos	m7_98_neg	m8_98_pos
no rank_root|no rank_root	no rank_1|no rank_1	1.0000445555	1.0000418938	1.0000506554	1.0000442619	1.0001753504	1.0000472916	1.0000356081	1.0000475589
no rank_root|no rank_cellular organisms	no rank_1|no rank_131567	0.985272234	0.9748678849	0.9871095091	0.9834973453	0.9940215449	0.9833682572	0.9851832352	0.9799112342
no rank_root|no rank_cellular organisms|superkingdom_Bacteria	no rank_1|no rank_131567|superkingdom_2	0.9800753222	0.9709236229	0.9745311741	0.978813396	0.9659125498	0.9746643721	0.9649057213	0.9664071013
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group	no rank_1|no rank_131567|superkingdom_2|clade_1783272	0.8979923901	0.9240012688	0.9064190296	0.9110552138	0.8821546259	0.9157878566	0.8947718478	0.9151050124
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239	0.85316019	0.8674344941	0.8506615467	0.8634255161	0.8479282188	0.8632592135	0.8597509047	0.8605076754
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801	0.6970803091	0.7353750965	0.6807681731	0.7572758734	0.7127694771	0.7601783371	0.6873021687	0.7485839
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802	0.6970803091	0.7353750965	0.6807681731	0.7572758734	0.7127694771	0.7601783371	0.6873021687	0.7485839
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803	0.3000554096	0.3362201022	0.2685158749	0.3711596302	0.3223303733	0.3949709617	0.290872215	0.3451205668
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511	0.0932050537	0.0707599249	0.058732338	0.0649267231	0.0580475894	0.0793074598	0.0857020106	0.0675802761
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079	0.0297647403	0.0088016006	0.0127543133	0.0088424839	0.0219187962	0.0143731698	0.0205365201	0.0100707684
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. AF19-10LB	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_2292961	0.0232314989	0.0001980198	0.00996662	0.0005803515	0.0205159933	0.0005316343	0.0152271052	0.0002755813
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. SG-772	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_2109334	0.0039269129	0.0061167546	0.0018956314	0.0054306734	0.001402803	0.0092339324	0.0031339325	0.0072742376
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. OF03-15BH	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_2292287	0.0009467203	0.0005066287	0.0002575533	0.0013609229	0.0	0.0019903754	0.0011651039	0.0004257502
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_unclassified Blautia|species_Blautia sp. Marseille-P3087	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_2648079|species_1917876	0.0016592731	0.0019799373	0.0006335218	0.0014702758	0.0	0.0026169104	0.0010099546	0.0020948736
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_environmental samples	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_765820	0.0198365718	0.0193125202	0.0123911731	0.0194577867	0.0120991755	0.0241047754	0.017315899	0.0180792378
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|no rank_environmental samples|species_uncultured Blautia sp.	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|no rank_765820|species_765821	0.0198365718	0.0193125202	0.0123911731	0.0194577867	0.0120991755	0.0241047754	0.017315899	0.0180792378
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|species_Blautia obeum	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|species_40520	0.0293168404	0.0193835575	0.0202838809	0.0154356828	0.018206662	0.0171954338	0.0297117401	0.0156068244
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|species_Blautia faecicola	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|species_2509240	0.0015158916	0.0031841888	0.0010361338	0.0029652862	0.0	0.0033824637	0.0015529774	0.0034760373
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|species_Blautia wexlerae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|species_418240	0.0114715304	0.0157112149	0.0105432367	0.0141674495	0.0058163387	0.016374654	0.0150602984	0.0155651289
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|species_Blautia massiliensis	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|species_1737424	0.0004626401	0.0043660623	0.0002782759	0.0040577737	0.0	0.0038766456	0.0005746037	0.0047816279
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Blautia|species_Blautia hansenii	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_572511|species_1322	0.0008358341	0.0	0.0014443376	0.0	0.0	0.0	0.0009491241	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Mediterraneibacter	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_2316020	0.0547834838	0.0482002451	0.0442294257	0.0703706751	0.0850019189	0.0608224557	0.0473650677	0.0538836272
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Mediterraneibacter|species_[Ruminococcus] lactaris	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_2316020|species_46228	0.0459748975	0.0446025827	0.0305547625	0.0668896077	0.0674106375	0.0567550566	0.0364893513	0.0499665296
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Mediterraneibacter|species_Mediterraneibacter faecis	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_2316020|species_592978	0.0054729548	0.0018376025	0.0101350329	0.0020813502	0.0175912814	0.0019148357	0.0072042719	0.0017326438
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Mediterraneibacter|species_Mediterraneibacter butyricigenes	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_2316020|species_2316025	0.0004492399	0.0011938431	0.000790751	0.0006660112	0.0	0.0012067305	0.0003408199	0.0014811678
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae|genus_Mediterraneibacter|species_[Ruminococcus] gnavus	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803|genus_2316020|species_33038	0.0028857215	0.0005656964	0.0027485504	0.0007337059	0.0	0.0009455156	0.0033302007	0.0007026345
