Data;Sequenced;File_name;Run;Sample_ID;Project;IgA_interaction;Group
296088497;Apr;CER005_neg_r2_S221_R2_001.fastq.gz;Run_2;CER005_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
290318606;Apr;CER005_neg_r2_S221_R1_001.fastq.gz;Run_2;CER005_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
188441034;Dec;CER005_IgAneg_S135_R2_001.fastq.gz;Run_1;CER005_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
183153258;Dec;CER005_IgAneg_S135_R1_001.fastq.gz;Run_1;CER005_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
55400543;Apr;CER005_IgApos_S125_R2_001.fastq.gz;Run_2;CER005_IgApos;Sorting_MS;IgApos;CTRL_IgApos
54092946;Apr;CER005_IgApos_S125_R1_001.fastq.gz;Run_2;CER005_IgApos;Sorting_MS;IgApos;CTRL_IgApos
356543808;Dec;CER005_IgApos_S142_R2_001.fastq.gz;Run_1;CER005_IgApos;Sorting_MS;IgApos;CTRL_IgApos
344621278;Dec;CER005_IgApos_S142_R1_001.fastq.gz;Run_1;CER005_IgApos;Sorting_MS;IgApos;CTRL_IgApos
293071707;Dec;CER005_100K_IgApos_S122_R2_001.fastq.gz;Run_1;CER005_IgApos;Sorting_MS;IgApos;CTRL_IgApos
281408364;Dec;CER005_100K_IgApos_S122_R1_001.fastq.gz;Run_1;CER005_IgApos;Sorting_MS;IgApos;CTRL_IgApos
954466082;Dec;CER203_IgAneg_S179_R2_001.fastq.gz;Run_1;CER203_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
917465948;Dec;CER203_IgAneg_S179_R1_001.fastq.gz;Run_1;CER203_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
6816972;Apr;CER203_IgApos_S143_R2_001.fastq.gz;Run_2;CER203_IgApos;Sorting_MS;IgApos;CTRL_IgApos
6647742;Apr;CER203_IgApos_S143_R1_001.fastq.gz;Run_2;CER203_IgApos;Sorting_MS;IgApos;CTRL_IgApos
