Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT021	ENT040	ENT048	ENT082	ENT086	ENT087	ENT093	ENT102	ENT123	ENT127
no rank_root|no rank_root	no rank_1|no rank_1	4170805.0	3555456.0	17778293.0	10256198.0	12711451.0	9650781.0	21107626.0	726885.0	18516725.0	11792977.0
no rank_root|no rank_cellular organisms	no rank_1|no rank_131567	3643349.0	2274198.0	5540788.0	8147294.0	10235611.0	1652070.0	9989035.0	605117.0	7026684.0	8781919.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria	no rank_1|no rank_131567|superkingdom_2	3628341.0	2224017.0	5425898.0	8098679.0	9855140.0	1629865.0	9950375.0	593378.0	6981091.0	8298885.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group	no rank_1|no rank_131567|superkingdom_2|clade_1783270	3193595.0	183649.0	4458286.0	2862233.0	3805446.0	1428648.0	1676035.0	326280.0	1688144.0	7182415.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336	3193595.0	183649.0	4458286.0	2862233.0	3805446.0	1428648.0	1676035.0	326280.0	1688144.0	7182415.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976	3193595.0	183649.0	4458286.0	2862233.0	3805446.0	1428648.0	1676035.0	326280.0	1688144.0	7182415.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643	3193595.0	175446.0	4458286.0	2859868.0	3805446.0	1428648.0	1676035.0	326280.0	1688144.0	7181632.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549	3193595.0	175446.0	4458286.0	2859868.0	3805446.0	1428648.0	1676035.0	326280.0	1688144.0	7181632.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552	2276407.0	23412.0	0.0	38648.0	22587.0	0.0	74552.0	1372.0	2731.0	38328.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838	2276407.0	4778.0	0.0	31970.0	20540.0	0.0	70263.0	1372.0	0.0	32332.0
