sample	tot_viral_reads	num_virulent_phages	num_temperate_phages	num_unknown_phages	virulent_phages_abundance	temperate_phages_abundance	ratio_num_virulent_temperate	ratio_abund_virulent_temperate
ENT021	527444	20	18	0	0.71824910610568	0.222078375804445	1.11111111111111	3.2342145132498
ENT040	1281217	66	41	4	0.792981021097057	0.188912287051475	1.60975609756098	4.19761484800078
ENT048	12237442	75	61	3	0.375054179177004	0.617506687010348	1.22950819672131	0.607368611654758
ENT082	2108832	41	131	3	0.252563701621013	0.626493061749507	0.312977099236641	0.403138864643957
ENT086	2475784	51	68	6	0.451811688597137	0.188200260844301	0.75	2.40069639951734
ENT087	7998708	7	13	0	0.100084962979747	0.894399896772418	0.538461538461538	0.111901805155523
ENT093	11118518	100	84	5	0.816758858504192	0.134874126902317	1.19047619047619	6.05571192387204
ENT102	121757	6	25	0	0.0681226071953443	0.86273375484656	0.24	0.0789613328708347
ENT123	11490025	30	16	1	0.8661628497583	0.105059438552665	1.875	8.24450293748813
ENT127	3011034	26	40	0	0.678983604107303	0.251676712860168	0.65	2.69784040164474
