Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT021	ENT040	ENT048	ENT082	ENT086	ENT087	ENT093	ENT102	ENT123	ENT127
no rank_root|no rank_root	no rank_1|no rank_1	1.0000139064	1.0000264389	1.0000063561	1.000022621	1.0000130593	1.0000037303	1.0000083857	1.0000467771	1.0000034023	1.0000086493
no rank_root|no rank_cellular organisms	no rank_1|no rank_131567	0.8735483116	0.6396530086	0.3116622736	0.7943955742	0.8052381014	0.1711857478	0.4732469092	0.8325186317	0.3794789795	0.7446800717
no rank_root|no rank_cellular organisms|superkingdom_Bacteria	no rank_1|no rank_131567|superkingdom_2	0.8699499154	0.625538834	0.3051998574	0.7896554064	0.7753063518	0.1688848892	0.4714153283	0.8163681415	0.3770167107	0.7037202548
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group	no rank_1|no rank_131567|superkingdom_2|clade_1783270	0.7657129526	0.0516540932	0.2507729138	0.2790798058	0.2993753975	0.1480349963	0.0794049058	0.4488953032	0.0911689159	0.6090469881
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336	0.7657129526	0.0516540932	0.2507729138	0.2790798058	0.2993753975	0.1480349963	0.0794049058	0.4488953032	0.0911689159	0.6090469881
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976	0.7657129526	0.0516540932	0.2507729138	0.2790798058	0.2993753975	0.1480349963	0.0794049058	0.4488953032	0.0911689159	0.6090469881
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643	0.7657129526	0.0493468738	0.2507729138	0.2788492084	0.2993753975	0.1480349963	0.0794049058	0.4488953032	0.0911689159	0.6089805921
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549	0.7657129526	0.0493468738	0.2507729138	0.2788492084	0.2993753975	0.1480349963	0.0794049058	0.4488953032	0.0911689159	0.6089805921
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552	0.5458031859	0.0065849835	0.0	0.0037683432	0.001776925	0.0	0.0035320232	0.0018875946	0.0001474888	0.003250098
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838	0.5458031859	0.0013438857	0.0	0.00311721	0.001615887	0.0	0.0033288248	0.0018875946	0.0	0.0027416554
