Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT021	ENT040	ENT048	ENT082	ENT086	ENT087	ENT093	ENT102	ENT123	ENT127
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|species_Prevotella copri	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|species_165179	0.0370509965605984	3.096736683074373e-05	0.0	2.5006445101322144e-05	0.0	0.0	0.0001492150677746	0.0001787100991455	0.0	3.7810476759158335e-05
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|no rank_unclassified Prevotella|species_Prevotella sp. UBA7782	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|no rank_2638335|species_1947238	0.000328042290992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|no rank_environmental samples|species_Prevotella sp. CAG:924	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|no rank_84374|species_1262938	0.0001118845657176	0.0	0.0	2.4366064965585862e-05	3.002360059080352e-05	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|no rank_environmental samples|species_uncultured Prevotella sp.	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|no rank_84374|species_159272	0.0005472373449817	0.0	0.0	0.0	1.4146072345306732e-05	0.0	0.0	0.0	0.0	4.031953546822895e-05
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|no rank_environmental samples|species_Prevotella sp. CAG:1320	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|no rank_84374|species_1262922	7.084627098233874e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|species_Prevotella hominis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|species_2518605	0.0001687294774601	0.0	0.0	0.0	2.709094202861718e-05	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|species_Prevotella rara	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|species_1676614	7.263019705827046e-05	0.0	0.0	0.0	0.0	0.0	8.575134762630981e-06	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|species_Prevotella stercorea	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|species_363265	2.6048936940639465e-05	0.0	0.0	0.0002941006242866	0.0	0.0	1.4872924315617358e-06	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|no rank_environmental samples|species_uncultured Bacteroides sp.	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|no rank_139043|species_162156	0.0003266812754718	6.417394509513253e-06	0.0001924395345489	0.0001552659396488	0.0	0.000295939211319	4.1273087579875246e-05	0.000485850720532	0.0	0.0020108125679186
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides xylanisolvens	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_371601	6.582587425220709e-05	7.974617133688736e-05	0.0001076888552686	0.0006463032500695	0.0001167827269792	7.514799812908424e-05	5.864268975948058e-05	0.0008139694413359	0.0002659301512925	0.000991439709012
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides caccae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_47678	0.0005091441530008	2.207169826828419e-05	0.0	0.0011590729099687	0.0	0.0017946192919127	0.0002395660833562	0.0	0.0	0.0201235431457851
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides ovatus	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_28116	0.000754258680774	2.8145316215765143e-05	0.0021408570823337	0.0002882130326625	0.0001849111677538	0.0001710924175291	8.94968135885012e-06	0.0013071485720561	0.0004326969436563	0.0013369029955361
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides fragilis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_817	3.832487220094312e-05	0.0002462737428844	0.0014315251647781	0.0001284094848985	0.0022554698583839	0.0003568916070728	0.0013049935634468	0.0013963281205899	0.0007554115210694	0.0027787668289637
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides uniformis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_820	5.975107352836818e-05	7.2909932622439155e-06	1.943384853061391e-05	0.0033899462772104	0.0003303868355798	0.000417136944436	0.0001095782076601	0.0007108472357946	0.0	0.0058025565541063
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|no rank_Bacteroidales incertae sedis|genus_Phocaeicola|species_Phocaeicola coprophilus	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|no rank_333046|genus_909656|species_387090	0.0009865924897117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|no rank_Bacteroidales incertae sedis|genus_Phocaeicola|species_Phocaeicola vulgatus	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|no rank_333046|genus_909656|species_821	0.0089354784481002	2.494946912799836e-05	0.0	0.0001669450738005	4.6469269818921626e-05	0.0002774282758299	7.778339345845466e-06	0.0013848899597263	0.0	0.0062358657305346
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|no rank_Bacteroidales incertae sedis|genus_Phocaeicola|species_Phocaeicola barnesiae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|no rank_333046|genus_909656|species_376804	4.091262904186517e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|no rank_Bacteroidales incertae sedis|genus_Phocaeicola|species_Phocaeicola plebeius	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|no rank_333046|genus_909656|species_310297	0.0002295375580701	0.0001279881633891	6.255009353975543e-05	0.0015442129132904	4.697316840619642e-05	0.0002819925452238	5.570122731381284e-06	0.0001720830136264	0.0012673420434141	0.0001026083729648
