Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	A11	A1	A9	B1	B4	CER069	CER119	CER201	CER202	CER203	CER205	CER206	CER207	CER209	CER210	CER211	CER212	CER213	CER214	CER215	CER216	CER217	CER218	CER220	CER222	CER223	CER226	CER228	CER229	CER230	CER231	CER232	CER233	CER235
no rank_root|no rank_root	no rank_1|no rank_1	4896433.0	5369089.0	1816689.0	5740722.0	1142.0	5332253.0	9332501.0	5819523.0	6031245.0	5168285.0	1861642.0	982777.0	378717.0	6344834.0	14969595.0	759127.0	5712822.0	903001.0	19069924.0	2473289.0	1793992.0	5006871.0	14988806.0	339935.0	34425579.0	6280283.0	12503244.0	13437444.0	12415983.0	10279167.0	5720258.0	3479203.0	3273624.0	7416484.0
no rank_root|superkingdom_Viruses	no rank_1|superkingdom_10239	4365335.0	231828.0	758614.0	728611.0	0.0	453803.0	3909253.0	841449.0	403226.0	1123469.0	182381.0	417719.0	155988.0	4682501.0	10767366.0	509337.0	4344034.0	8220.0	16612230.0	1028019.0	101394.0	2532420.0	7468802.0	124468.0	20340622.0	2772978.0	1805442.0	6523392.0	3411079.0	5754910.0	164214.0	1405080.0	1452125.0	3114793.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria	no rank_1|superkingdom_10239|clade_2731341	4365335.0	231828.0	758614.0	728581.0	0.0	453644.0	3904228.0	841449.0	403226.0	1121553.0	182381.0	416661.0	155988.0	4603696.0	10724238.0	509326.0	4344034.0	8220.0	16605979.0	1026163.0	101382.0	2508528.0	7240033.0	123862.0	20303214.0	2766976.0	1805176.0	6518534.0	3381024.0	5754910.0	163796.0	1404837.0	1451617.0	3087318.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360	4365335.0	231828.0	758614.0	728581.0	0.0	453644.0	3904228.0	841449.0	403226.0	1121553.0	182381.0	416661.0	155988.0	4603696.0	10724238.0	509326.0	4344034.0	8220.0	16605979.0	1026163.0	101382.0	2508528.0	7240033.0	123862.0	20303214.0	2766976.0	1805176.0	6518534.0	3381024.0	5754910.0	163796.0	1404837.0	1451617.0	3087318.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618	4365335.0	231828.0	758614.0	728581.0	0.0	453644.0	3904228.0	841449.0	403226.0	1121553.0	182381.0	416661.0	155988.0	4603696.0	10724238.0	509326.0	4344034.0	8220.0	16605979.0	1026163.0	101382.0	2508528.0	7240033.0	123862.0	20303214.0	2766976.0	1805176.0	6518534.0	3381024.0	5754910.0	163796.0	1404837.0	1451617.0	3087318.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619	4365335.0	231828.0	758614.0	728581.0	0.0	453644.0	3904228.0	841449.0	403226.0	1121553.0	182381.0	416661.0	155988.0	4603696.0	10724238.0	509326.0	4344034.0	8220.0	16605979.0	1026163.0	101382.0	2508528.0	7240033.0	123862.0	20303214.0	2766976.0	1805176.0	6518534.0	3381024.0	5754910.0	163796.0	1404837.0	1451617.0	3087318.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883	4365335.0	231828.0	758614.0	728581.0	0.0	453644.0	3904228.0	841449.0	403226.0	1121553.0	182381.0	416661.0	155988.0	4603696.0	10724238.0	509326.0	4344034.0	8220.0	16605979.0	1026163.0	101382.0	2508528.0	7240033.0	123862.0	20303214.0	2766976.0	1805176.0	6518534.0	3381024.0	5754910.0	163796.0	1404837.0	1451617.0	3087318.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744	3572077.0	85226.0	6002.0	151588.0	0.0	40703.0	1293360.0	451044.0	907.0	475198.0	9931.0	221996.0	28910.0	390470.0	9476021.0	505028.0	2402450.0	0.0	13769824.0	697590.0	697.0	1410664.0	1511014.0	1573.0	4074172.0	259421.0	393646.0	1302632.0	2245211.0	3540796.0	14097.0	153033.0	205390.0	377551.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895	3572077.0	30692.0	0.0	94836.0	0.0	9863.0	1072712.0	422506.0	0.0	262604.0	9931.0	38882.0	20093.0	315323.0	7098455.0	498276.0	2392132.0	0.0	13765879.0	690665.0	0.0	1311484.0	1256234.0	0.0	3812920.0	0.0	288641.0	934750.0	1762150.0	3122309.0	8010.0	136121.0	194473.0	40638.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007	3572077.0	30692.0	0.0	94836.0	0.0	9863.0	1072712.0	422506.0	0.0	262604.0	9931.0	38882.0	20093.0	315323.0	7098455.0	498276.0	2392132.0	0.0	13765879.0	690665.0	0.0	1311484.0	1256234.0	0.0	3812920.0	0.0	288641.0	934750.0	1762150.0	3122309.0	8010.0	136121.0	194473.0	40638.0
