Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	A11	A1	A9	B1	B4	CER069	CER119	CER201	CER202	CER203	CER205	CER206	CER207	CER209	CER210	CER211	CER212	CER213	CER214	CER215	CER216	CER217	CER218	CER220	CER222	CER223	CER226	CER228	CER229	CER230	CER231	CER232	CER233	CER235
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744	3572077.0	85226.0	6002.0	151588.0	0.0	40703.0	1293360.0	451044.0	907.0	475198.0	9931.0	221996.0	28910.0	390470.0	9476021.0	505028.0	2402450.0	0.0	13769824.0	697590.0	697.0	1410664.0	1511014.0	1573.0	4074172.0	259421.0	393646.0	1302632.0	2245211.0	3540796.0	14097.0	153033.0	205390.0	377551.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Siphoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10699	7043.0	38044.0	148787.0	341727.0	0.0	228720.0	451546.0	85845.0	185347.0	284413.0	40417.0	156332.0	93929.0	2772408.0	827323.0	1741.0	343590.0	2541.0	1887822.0	215582.0	52551.0	65361.0	1021045.0	15475.0	10461546.0	939546.0	690932.0	4890608.0	383231.0	435588.0	39977.0	68166.0	280961.0	1695273.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Myoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10662	23.0	3607.0	2711.0	13961.0	0.0	2361.0	74788.0	58341.0	27370.0	22463.0	63.0	452.0	32549.0	1707.0	43285.0	0.0	22282.0	0.0	68.0	12548.0	22220.0	11996.0	45816.0	0.0	1552799.0	7918.0	17764.0	2125.0	3943.0	20799.0	1129.0	7602.0	10042.0	38857.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815	323650.0	12937.0	50358.0	636384.0	0.0	302119.0	744365.0	1664781.0	431455.0	641882.0	7941.0	45589.0	17554.0	136426.0	822626.0	25573.0	310469.0	0.0	511069.0	5269.0	282318.0	105058.0	82228.0	61129.0	1311907.0	258053.0	144024.0	39375.0	779203.0	459928.0	236032.0	102941.0	65922.0	749329.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Tannerellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_2005525	34485.0	1832.0	3719.0	38143.0	0.0	6614.0	38746.0	101391.0	25352.0	35317.0	11112.0	548.0	0.0	16689.0	53482.0	1263.0	15053.0	0.0	11652.0	0.0	303191.0	7158.0	14678.0	608.0	34137.0	21177.0	19511.0	0.0	52620.0	14784.0	55108.0	1604.0	6401.0	114984.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Rikenellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171550	7542.0	21678.0	304249.0	383364.0	0.0	29782.0	353904.0	237276.0	556523.0	470571.0	18279.0	24251.0	11599.0	50814.0	400458.0	5726.0	72631.0	0.0	77665.0	136570.0	1224.0	96477.0	91761.0	5712.0	830333.0	92197.0	253988.0	43295.0	409799.0	7981.0	72651.0	59136.0	29347.0	840238.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552	4432.0	43243.0	0.0	133878.0	0.0	13967.0	100173.0	128894.0	4028.0	47960.0	443432.0	121106.0	0.0	527415.0	628072.0	201.0	7202.0	11276.0	4619.0	479255.0	90366.0	3753.0	344450.0	3785.0	239212.0	13768.0	171227.0	196841.0	406615.0	1604969.0	2372882.0	1193580.0	57379.0	45977.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Ruminococcaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_541000	9107.0	56757.0	102453.0	470316.0	0.0	139149.0	212155.0	94957.0	420262.0	384400.0	99600.0	38445.0	18233.0	61254.0	145002.0	11336.0	197657.0	3656.0	37531.0	101873.0	275247.0	141474.0	120186.0	23851.0	2058615.0	361226.0	507170.0	179804.0	1184595.0	310910.0	405417.0	31569.0	181703.0	518690.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Eubacteriaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186806	6658.0	9320.0	4010.0	60736.0	0.0	7115.0	227652.0	42307.0	130463.0	98801.0	25956.0	12627.0	710.0	14846.0	30085.0	4970.0	26998.0	0.0	36685.0	58242.0	17259.0	18274.0	614577.0	5348.0	154594.0	66859.0	50836.0	1421.0	89686.0	24308.0	127862.0	11872.0	7070.0	173772.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Clostridiaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_31979	6053.0	3073826.0	252198.0	1946488.0	1121.0	3061490.0	347350.0	51029.0	335470.0	266681.0	131956.0	43327.0	2138.0	30264.0	385571.0	108270.0	89657.0	636316.0	112890.0	222264.0	120734.0	988499.0	5105050.0	223.0	2872794.0	568279.0	4309854.0	3362635.0	348933.0	57129.0	607800.0	196945.0	334450.0	253158.0
