sample	tot_viral_reads	num_virulent_phages	num_temperate_phages	num_unknown_phages	virulent_phages_abundance	temperate_phages_abundance	ratio_num_virulent_temperate	ratio_abund_virulent_temperate
A1	231803	34	44	1	0.547070988315899	0.0925430537800617	0.772727272727273	5.91152945542591
A11	4365332	5	9	1	0.933315753983196	0.0631996520048036	0.555555555555556	14.7677356500675
A9	758599	16	23	2	0.868703114907507	0.0777715728802001	0.695652173913043	11.1699311552521
B1	728569	28	82	3	0.67136942370699	0.185418026231221	0.341463414634146	3.620842252251
B4	0	0	0	0	0	0	NA	NA
CER069	453778	26	30	1	0.404814676709962	0.314756974414407	0.866666666666667	1.2861182106071
CER119	3909207	57	74	2	0.555819610667628	0.392256790784476	0.77027027027027	1.41697893758841
CER201	841421	27	40	1	0.401916431192547	0.438096882952546	0.675	0.917414496272693
CER202	403203	10	52	3	0.219163885839449	0.596382123718895	0.192307692307692	0.367489026117678
CER203	1123430	40	55	3	0.610548293457844	0.325525359600327	0.727272727272727	1.87557827816383
CER205	182360	17	36	0	0.360461622604084	0.458164068266551	0.472222222222222	0.786752274066098
CER206	417703	27	21	1	0.865458144937016	0.122454335707305	1.28571428571429	7.06759903549407
CER207	155984	9	9	1	0.151430133804378	0.267544381964942	1	0.566000050878365
CER209	4682467	55	43	1	0.853492421713027	0.140879012922183	1.27906976744186	6.0583361851383
CER210	10767319	52	69	2	0.851772069580434	0.139602496689677	0.753623188405797	6.1014100018128
CER211	509332	21	3	0	0.957624571695469	0.0092691334611898	7	103.313279035746
CER212	4344008	31	34	1	0.515382151425038	0.472148421343214	0.911764705882353	1.09156809199706
CER213	8209	2	16	2	0.0038453364949858	0.151273820159253	0.125	0.0254197090477231
CER214	16612203	34	36	1	0.0741681924183629	0.702030974788925	0.944444444444444	0.105648034177783
CER215	1028000	21	31	1	0.56110787807353	0.367204882789246	0.67741935483871	1.52805124433918
CER216	101377	16	30	2	0.222879588982699	0.570353432359742	0.533333333333333	0.390774520389177
CER217	2532370	74	60	2	0.650065314907752	0.314874739677919	1.23333333333333	2.0645203726812
CER218	7468740	93	95	3	0.377783844277346	0.595705621160865	0.978947368421053	0.634178746779576
CER220	124460	10	10	0	0.255181391685698	0.705655237961614	1	0.361623322492193
CER222	20340577	46	67	3	0.631538131210226	0.35413696732309	0.686567164179104	1.78331603160213
CER223	2772945	46	44	3	0.602857321163482	0.372943467333598	1.04545454545455	1.61648446471976
CER226	1805373	56	110	4	0.392658868484315	0.419268189559924	0.509090909090909	0.936533889910563
CER228	6523343	70	63	4	0.63211763812558	0.317856519772968	1.11111111111111	1.98868860257161
CER229	3410987	130	73	5	0.722925854030352	0.193484181466964	1.78082191780822	3.73635637057899
CER230	5754886	25	38	1	0.582333652501589	0.400181992525517	0.657894736842105	1.45517205516052
CER231	164189	25	52	2	0.290018064211859	0.342590114686722	0.480769230769231	0.846545337354707
CER232	1405062	21	37	1	0.200873291832534	0.750170472312123	0.567567567567568	0.267770192571585
CER233	1452094	47	40	1	0.752566518333948	0.193907470985256	1.175	3.88105994323019
CER235	3114749	51	62	5	0.433112701199857	0.535094283239105	0.82258064516129	0.809413807559447
