Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	A11	A1	A9	B1	B4	CER069	CER119	CER201	CER202	CER203	CER205	CER206	CER207	CER209	CER210	CER211	CER212	CER213	CER214	CER215	CER216	CER217	CER218	CER220	CER222	CER223	CER226	CER228	CER229	CER230	CER231	CER232	CER233	CER235
no rank_root|no rank_root	no rank_1|no rank_1	1.0000046973	1.0000195568	1.0000390836	1.0000301365	1.0008764242	1.0000176289	1.0000161803	1.0000190741	1.0000210575	1.0000303785	1.0000537189	1.0000783556	1.0000501719	1.0000162339	1.0000090184	1.0000368858	1.0000159293	1.0000299012	1.0000040378	1.0000226424	1.0000356759	1.0000265642	1.0000102077	1.0000941445	1.0000033986	1.0000257957	1.0000148764	1.0000096001	1.0000184443	1.0000075882	1.0000234261	1.0000224194	1.000036047	1.0000196863
no rank_root|superkingdom_Viruses	no rank_1|superkingdom_10239	0.8915378818	0.0431791192	0.4175968751	0.1269235747	0.0	0.085106802	0.418892669	0.1445934744	0.0668575876	0.2173841283	0.0979730782	0.4250727587	0.4119060571	0.7380141097	0.7192888721	0.6709757225	0.7604128393	0.0091032521	0.8711254999	0.4156579667	0.056520663	0.5058023807	0.4982970785	0.3661868239	0.5908598118	0.4415484988	0.144400034	0.4854684139	0.274737966	0.5598657624	0.0287081189	0.403860166	0.4435993091	0.4199907016
no rank_root|superkingdom_Viruses|clade_Duplodnaviria	no rank_1|superkingdom_10239|clade_2731341	0.8915378818	0.0431791192	0.4175968751	0.1269183488	0.0	0.0850769829	0.4183542195	0.1445934744	0.0668575876	0.2170133944	0.0979730782	0.4239961331	0.4119060571	0.7255935673	0.7164078063	0.6709612317	0.7604128393	0.0091032521	0.8707977049	0.414907532	0.0565139738	0.5010304114	0.483034266	0.3644039623	0.5897731743	0.4405927848	0.1443787592	0.4851068833	0.2723172511	0.5598657624	0.0286350436	0.4037903208	0.4434441238	0.4162860431
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360	0.8915378818	0.0431791192	0.4175968751	0.1269183488	0.0	0.0850769829	0.4183542195	0.1445934744	0.0668575876	0.2170133944	0.0979730782	0.4239961331	0.4119060571	0.7255935673	0.7164078063	0.6709612317	0.7604128393	0.0091032521	0.8707977049	0.414907532	0.0565139738	0.5010304114	0.483034266	0.3644039623	0.5897731743	0.4405927848	0.1443787592	0.4851068833	0.2723172511	0.5598657624	0.0286350436	0.4037903208	0.4434441238	0.4162860431
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618	0.8915378818	0.0431791192	0.4175968751	0.1269183488	0.0	0.0850769829	0.4183542195	0.1445934744	0.0668575876	0.2170133944	0.0979730782	0.4239961331	0.4119060571	0.7255935673	0.7164078063	0.6709612317	0.7604128393	0.0091032521	0.8707977049	0.414907532	0.0565139738	0.5010304114	0.483034266	0.3644039623	0.5897731743	0.4405927848	0.1443787592	0.4851068833	0.2723172511	0.5598657624	0.0286350436	0.4037903208	0.4434441238	0.4162860431
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619	0.8915378818	0.0431791192	0.4175968751	0.1269183488	0.0	0.0850769829	0.4183542195	0.1445934744	0.0668575876	0.2170133944	0.0979730782	0.4239961331	0.4119060571	0.7255935673	0.7164078063	0.6709612317	0.7604128393	0.0091032521	0.8707977049	0.414907532	0.0565139738	0.5010304114	0.483034266	0.3644039623	0.5897731743	0.4405927848	0.1443787592	0.4851068833	0.2723172511	0.5598657624	0.0286350436	0.4037903208	0.4434441238	0.4162860431
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883	0.8915378818	0.0431791192	0.4175968751	0.1269183488	0.0	0.0850769829	0.4183542195	0.1445934744	0.0668575876	0.2170133944	0.0979730782	0.4239961331	0.4119060571	0.7255935673	0.7164078063	0.6709612317	0.7604128393	0.0091032521	0.8707977049	0.414907532	0.0565139738	0.5010304114	0.483034266	0.3644039623	0.5897731743	0.4405927848	0.1443787592	0.4851068833	0.2723172511	0.5598657624	0.0286350436	0.4037903208	0.4434441238	0.4162860431
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744	0.7295297984	0.0158737668	0.0033039417	0.0264065336	0.0	0.0076334933	0.138588887	0.0775067997	0.0001503867	0.0919478001	0.0053348246	0.2259041417	0.0763405141	0.0615424042	0.6330235693	0.6652992561	0.4205431693	0.0	0.7220731241	0.2820559163	0.0003885329	0.2817531095	0.1008105265	0.0046277909	0.1183476347	0.0413082805	0.0314839778	0.0969413904	0.1808356544	0.3444659347	0.0024644571	0.0439860597	0.0627431262	0.0509080088
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895	0.7295297984	0.0057165378	0.0	0.0165203711	0.0	0.0018497198	0.1149455389	0.0726028678	0.0	0.050812209	0.0053348246	0.0395665005	0.0530581096	0.0496984033	0.474195796	0.6564045006	0.4187370279	0.0	0.721866253	0.2792559375	0.0	0.2619438045	0.0838123346	0.0	0.1107587169	0.0	0.0230856323	0.0695637484	0.141928553	0.3037534747	0.0014003193	0.0391250674	0.0594081697	0.0054795237
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007	0.7295297984	0.0057165378	0.0	0.0165203711	0.0	0.0018497198	0.1149455389	0.0726028678	0.0	0.050812209	0.0053348246	0.0395665005	0.0530581096	0.0496984033	0.474195796	0.6564045006	0.4187370279	0.0	0.721866253	0.2792559375	0.0	0.2619438045	0.0838123346	0.0	0.1107587169	0.0	0.0230856323	0.0695637484	0.141928553	0.3037534747	0.0014003193	0.0391250674	0.0594081697	0.0054795237
