Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
A11	5141269	230675	4896410	244859
A1	7288907	1834080	5368984	1919923
A9	2212558	354483	1816618	395940
B1	6636812	816221	5740549	896263
B4	3566	728	1141	2425
CER069	6594516	1163332	5332159	1262357
CER119	16526239	7127061	9332350	7193889
CER201	6660896	777831	5819412	841484
CER202	7371080	1304212	6031118	1339962
CER203	5756973	526546	5168128	588845
CER205	2202337	310245	1861542	340795
CER206	1256591	191218	982700	273891
CER207	467439	55861	378698	88741
CER209	7851693	1399251	6344731	1506962
CER210	16576663	1515729	14969460	1607203
CER211	913438	103674	759099	154339
CER212	9245248	3472730	5712731	3532517
CER213	1217948	294946	902974	314974
CER214	19838579	701793	19069847	768732
CER215	2883160	276253	2473233	409927
CER216	1983910	174067	1793928	189982
CER217	6444107	1326160	5006738	1437369
CER218	19516927	4442631	14988653	4528274
CER220	464547	46118	339903	124644
CER222	36271359	1610877	34425462	1845897
CER223	7594229	1247866	6280121	1314108
CER226	16240560	3661585	12503058	3737502
CER228	16467356	2939680	13437315	3030041
CER229	14894507	2432291	12415754	2478753
CER230	11094210	781841	10279089	815121
CER231	6882620	1122957	5720124	1162496
CER232	3899084	348809	3479125	419959
CER233	8225802	4839307	3273506	4952296
CER235	8359557	904656	7416338	943219
