Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
no rank_root|no rank_root	no rank_1|no rank_1	8204621.0	1485662.0	3770804.0	15983486.0	15983486.0	17377888.0	2800253.0	6520750.0	5161533.0	3679103.0	30721692.0	1010210.0	9301027.0	24283502.0	2343180.0	11762415.0	11531747.0	5661565.0	9004482.0	11885266.0	11991905.0
no rank_root|superkingdom_Viruses	no rank_1|superkingdom_10239	4901973.0	510265.0	693071.0	12523321.0	12523321.0	7038954.0	1480718.0	4057071.0	540100.0	923653.0	6201486.0	590690.0	1593440.0	4981405.0	464792.0	4499123.0	2301364.0	365351.0	4567124.0	1312097.0	9864659.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria	no rank_1|superkingdom_10239|clade_2731341	4895784.0	509225.0	691337.0	12484541.0	12484541.0	7023559.0	1480706.0	4057071.0	518789.0	922529.0	6169513.0	588750.0	1593440.0	4860234.0	464708.0	4497186.0	2300714.0	354999.0	4564899.0	1302660.0	9850611.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360	4895784.0	509225.0	691337.0	12484541.0	12484541.0	7023559.0	1480706.0	4057071.0	518789.0	922529.0	6169513.0	588750.0	1593440.0	4860234.0	464708.0	4497186.0	2300714.0	354999.0	4564899.0	1302660.0	9850611.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618	4895784.0	509225.0	691337.0	12484541.0	12484541.0	7023559.0	1480706.0	4057071.0	518789.0	922529.0	6169513.0	588750.0	1593440.0	4860234.0	464708.0	4497186.0	2300714.0	354999.0	4564899.0	1302660.0	9850611.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619	4895784.0	509225.0	691337.0	12484541.0	12484541.0	7023559.0	1480706.0	4057071.0	518789.0	922529.0	6169513.0	588750.0	1593440.0	4860234.0	464708.0	4497186.0	2300714.0	354999.0	4564899.0	1302660.0	9850611.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883	4895784.0	509225.0	691337.0	12484541.0	12484541.0	7023559.0	1480706.0	4057071.0	518789.0	922529.0	6169513.0	588750.0	1593440.0	4860234.0	464708.0	4497186.0	2300714.0	354999.0	4564899.0	1302660.0	9850611.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744	3163622.0	260364.0	57047.0	3460112.0	3460112.0	1332399.0	10410.0	355774.0	220671.0	201917.0	2039609.0	53417.0	1479778.0	380772.0	276328.0	20762.0	534992.0	55587.0	1189896.0	159475.0	8057139.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895	3153372.0	235385.0	42670.0	3051829.0	3051829.0	1321250.0	0.0	73083.0	91126.0	13780.0	931339.0	51424.0	80601.0	78681.0	159868.0	286.0	480138.0	8216.0	528375.0	134370.0	7925795.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007	3153372.0	235385.0	42670.0	3051829.0	3051829.0	1321250.0	0.0	73083.0	91126.0	13780.0	931339.0	51424.0	80601.0	78681.0	159868.0	286.0	480138.0	8216.0	528375.0	134370.0	7925795.0
