Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744	3163622.0	260364.0	57047.0	3460112.0	3460112.0	1332399.0	10410.0	355774.0	220671.0	201917.0	2039609.0	53417.0	1479778.0	380772.0	276328.0	20762.0	534992.0	55587.0	1189896.0	159475.0	8057139.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Siphoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10699	1229988.0	11859.0	168860.0	1264150.0	1264150.0	687457.0	1345940.0	2697001.0	221449.0	554003.0	1221483.0	430340.0	41975.0	2350238.0	110876.0	345385.0	1107814.0	110503.0	806152.0	105502.0	757734.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Myoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10662	15298.0	120.0	17738.0	190306.0	190306.0	68521.0	17614.0	734953.0	14022.0	2604.0	86277.0	0.0	2682.0	171377.0	0.0	8070.0	43396.0	31042.0	25011.0	16594.0	84795.0
no rank_root|superkingdom_Viruses|clade_Monodnaviria|kingdom_Sangervirae|phylum_Phixviricota|class_Malgrandaviricetes|order_Petitvirales|family_Microviridae	no rank_1|superkingdom_10239|clade_2731342|kingdom_2732091|phylum_2732412|class_2732413|order_2732414|family_10841	6188.0	1040.0	1716.0	38780.0	38780.0	15395.0	0.0	0.0	21311.0	1124.0	29119.0	1939.0	0.0	120242.0	0.0	1937.0	522.0	10352.0	2225.0	9385.0	14047.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552	571110.0	1895.0	27216.0	118041.0	118041.0	5385786.0	1246.0	17320.0	3251.0	11884.0	6848271.0	12300.0	6009026.0	5792111.0	6829.0	60921.0	21850.0	316985.0	623064.0	158609.0	1548.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815	468459.0	12463.0	551859.0	879586.0	879586.0	565022.0	169966.0	1024950.0	1271146.0	398538.0	1863622.0	66659.0	356383.0	1583702.0	198425.0	2661346.0	1550515.0	838856.0	1084104.0	1126952.0	242814.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Tannerellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_2005525	159371.0	562.0	17000.0	69272.0	69272.0	45721.0	0.0	18130.0	207341.0	15000.0	71882.0	3157.0	64709.0	110650.0	10892.0	181184.0	59254.0	30972.0	17417.0	640971.0	15489.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Odoribacteraceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_1853231	100694.0	517963.0	307774.0	235315.0	235315.0	186806.0	552.0	900.0	1134.0	106340.0	196595.0	0.0	359.0	295070.0	185439.0	105943.0	167045.0	220488.0	284285.0	354269.0	107219.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Rikenellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171550	87403.0	27642.0	90153.0	414550.0	414550.0	386788.0	479.0	2011.0	608774.0	175307.0	1008273.0	147625.0	200871.0	421043.0	92018.0	2424166.0	898907.0	251876.0	182387.0	1503606.0	162628.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Barnesiellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_2005519	21077.0	1509.0	23338.0	35738.0	35738.0	42483.0	2534.0	7296.0	8538.0	23617.0	98078.0	0.0	11238.0	54987.0	6515.0	76029.0	200583.0	2673.0	16096.0	267026.0	24617.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Ruminococcaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_541000	314801.0	15676.0	120420.0	297580.0	297580.0	537685.0	4840.0	42080.0	219761.0	394919.0	1327303.0	21436.0	119969.0	539337.0	26273.0	315741.0	705620.0	125494.0	134787.0	872849.0	115723.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Peptostreptococcaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186804	278780.0	0.0	23382.0	0.0	0.0	38038.0	93019.0	16792.0	37850.0	38480.0	19428.0	1364.0	13304.0	45423.0	0.0	0.0	37161.0	8255.0	200177.0	1077.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Oscillospiraceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_216572	219180.0	0.0	27011.0	97819.0	97819.0	58784.0	0.0	10473.0	33404.0	39533.0	190037.0	5704.0	19234.0	42545.0	1298.0	38456.0	135338.0	8233.0	14935.0	195772.0	28429.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Clostridiaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_31979	191533.0	277953.0	70852.0	42893.0	42893.0	1553671.0	71010.0	67126.0	67216.0	64202.0	2772349.0	3766.0	507502.0	5556695.0	664062.0	75617.0	895163.0	920772.0	103907.0	367520.0	587009.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Lachnospiraceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186803	133847.0	13249.0	298587.0	180371.0	180371.0	153850.0	115690.0	200602.0	466733.0	123344.0	1228864.0	26544.0	57377.0	463697.0	31945.0	274498.0	1330065.0	29903.0	120099.0	677220.0	90277.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Eubacteriaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186806	46155.0	0.0	149937.0	45080.0	45080.0	59850.0	5177.0	23715.0	63715.0	50591.0	213393.0	6718.0	16513.0	218165.0	18713.0	36381.0	530645.0	41655.0	39281.0	488537.0	61884.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Catabacteriaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_424536	1714.0	2320.0	0.0	11118.0	11118.0	2578.0	0.0	0.0	148.0	907.0	10420.0	0.0	0.0	4873.0	0.0	2843.0	265.0	1129.0	1497.0	6950.0	1563.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Clostridia|order_Clostridiales|family_Peptococcaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_186801|order_186802|family_186807	449.0	0.0	0.0	1325.0	1325.0	656.0	0.0	0.0	0.0	0.0	2613.0	0.0	0.0	218.0	0.0	0.0	0.0	683.0	0.0	14222.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Erysipelotrichia|order_Erysipelotrichales|family_Erysipelotrichaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_526524|order_526525|family_128827	54266.0	0.0	28788.0	61420.0	61420.0	141939.0	40203.0	32871.0	36849.0	537617.0	1676612.0	0.0	19999.0	60775.0	20994.0	58010.0	251805.0	30390.0	54744.0	121627.0	23435.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_Terrabacteria group|phylum_Firmicutes|class_Negativicutes|order_Veillonellales|family_Veillonellaceae	no rank_1|no rank_131567|superkingdom_2|clade_1783272|phylum_1239|class_909932|order_1843489|family_31977	5119.0	1224.0	177613.0	9245.0	9245.0	92288.0	230966.0	14332.0	89524.0	639.0	55710.0	0.0	14597.0	1230789.0	2685.0	38756.0	22504.0	14817.0	18734.0	317707.0	11709.0
