sample	tot_viral_reads	num_virulent_phages	num_temperate_phages	num_unknown_phages	virulent_phages_abundance	temperate_phages_abundance	ratio_num_virulent_temperate	ratio_abund_virulent_temperate
ENT059	4901933	32	70	5	0.140952844726549	0.832967729867867	0.457142857142857	0.169217653544524
ENT065	510257	15	18	0	0.834585655954944	0.111532556488437	0.833333333333333	7.48288824565291
ENT089	693035	33	66	2	0.338835649840414	0.520914513599339	0.5	0.650463062545862
ENT098	12523244	109	101	1	0.739287692117008	0.255795826040257	1.07920792079208	2.89014759764164
ENT108	12523244	109	101	1	0.739287692117008	0.255795826040257	1.07920792079208	2.89014759764164
ENT109	7038900	46	78	5	0.615371960378077	0.3411097387163	0.58974358974359	1.80402929184581
ENT111	1480694	26	42	1	0.276069792061344	0.714779541467853	0.619047619047619	0.386230685190589
ENT118	4057048	24	34	3	0.422535997301431	0.570148527791973	0.705882352941177	0.741098111640831
ENT119	540064	37	56	1	0.678840144250227	0.242620855825325	0.660714285714286	2.79794637580109
ENT120	923638	16	30	1	0.791975211399368	0.169947472326671	0.533333333333333	4.66011762668081
ENT121	6201357	138	165	11	0.721978186094007	0.233345746550751	0.836363636363636	3.09402762538456
ENT122	590684	12	9	1	0.0823607301063928	0.117016049408639	1.33333333333333	0.703841315124012
ENT124	1593411	39	31	3	0.938338492550626	0.0278300479508691	1.25806451612903	33.7167400576226
ENT125	4981357	74	81	6	0.625733246496697	0.292529599899925	0.91358024691358	2.13904249932575
ENT129	464776	24	34	0	0.778361706049377	0.143584041024003	0.705882352941177	5.42094859915008
ENT130	4499084	44	63	0	0.217619906622319	0.742167461031792	0.698412698412698	0.29322210693497
ENT131	2301302	53	113	4	0.579824690219139	0.2719058952671	0.469026548672566	2.13244618933165
ENT132	365299	67	67	5	0.575620325745465	0.211014416977128	1	2.72787202880008
ENT134	4567055	90	91	5	0.562439039149721	0.419024615860462	0.989010989010989	1.34225775255413
ENT135	1312031	60	105	8	0.592004234972558	0.228404874772763	0.571428571428571	2.59190718044672
ENT138	9864616	53	64	4	0.831002191615051	0.158343400190264	0.828125	5.24810121935317
