Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
no rank_root|no rank_root	no rank_1|no rank_1	1.0000152355	1.0000289442	1.000035007	1.0000120751	1.0000120751	1.0000084591	1.0000224985	1.0000096616	1.0000218932	1.000020114	1.0000112951	1.0000247479	1.0000113967	1.0000072478	1.0000303016	1.0000123276	1.0000195985	1.0000279083	1.0000176582	1.0000199411	1.0000099235
no rank_root|superkingdom_Viruses	no rank_1|superkingdom_10239	0.5974739947	0.3434696244	0.1838056983	0.7835257103	0.7835257103	0.4050557549	0.5287919748	0.622184595	0.1046417459	0.2510589071	0.201862451	0.5847344793	0.1713206681	0.2051368499	0.198365505	0.3825046526	0.1995715916	0.0645336045	0.5072145901	0.1103991416	0.8226179987
no rank_root|superkingdom_Viruses|clade_Duplodnaviria	no rank_1|superkingdom_10239|clade_2731341	0.5967196522	0.3427695795	0.1833458333	0.7810994268	0.7810994268	0.4041698515	0.5287876894	0.622184595	0.1005128434	0.2507533917	0.2008217088	0.582814039	0.1713206681	0.200146965	0.1983296552	0.3823399735	0.1995152244	0.0627050837	0.5069674866	0.1096051175	0.8214465301
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360	0.5967196522	0.3427695795	0.1833458333	0.7810994268	0.7810994268	0.4041698515	0.5287876894	0.622184595	0.1005128434	0.2507533917	0.2008217088	0.582814039	0.1713206681	0.200146965	0.1983296552	0.3823399735	0.1995152244	0.0627050837	0.5069674866	0.1096051175	0.8214465301
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618	0.5967196522	0.3427695795	0.1833458333	0.7810994268	0.7810994268	0.4041698515	0.5287876894	0.622184595	0.1005128434	0.2507533917	0.2008217088	0.582814039	0.1713206681	0.200146965	0.1983296552	0.3823399735	0.1995152244	0.0627050837	0.5069674866	0.1096051175	0.8214465301
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619	0.5967196522	0.3427695795	0.1833458333	0.7810994268	0.7810994268	0.4041698515	0.5287876894	0.622184595	0.1005128434	0.2507533917	0.2008217088	0.582814039	0.1713206681	0.200146965	0.1983296552	0.3823399735	0.1995152244	0.0627050837	0.5069674866	0.1096051175	0.8214465301
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883	0.5967196522	0.3427695795	0.1833458333	0.7810994268	0.7810994268	0.4041698515	0.5287876894	0.622184595	0.1005128434	0.2507533917	0.2008217088	0.582814039	0.1713206681	0.200146965	0.1983296552	0.3823399735	0.1995152244	0.0627050837	0.5069674866	0.1096051175	0.8214465301
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744	0.3855961414	0.17525624	0.0151291335	0.2164830489	0.2164830489	0.076672739	0.0037176049	0.0545608154	0.0427539321	0.0548832314	0.0663906154	0.0528784332	0.1591001579	0.0156803891	0.1179322003	0.0017651355	0.0463938799	0.009818584	0.132147192	0.0134181414	0.6718881574
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895	0.3843468264	0.1584423732	0.0113162853	0.1909386883	0.1909386883	0.0760311711	0.0	0.0112078681	0.0176552189	0.0037455535	0.0303156974	0.0509055272	0.008665916	0.0032401245	0.0682290068	2.4315e-05	0.0416370052	0.0014512293	0.0586801473	0.0113058201	0.6609353269
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007	0.3843468264	0.1584423732	0.0113162853	0.1909386883	0.1909386883	0.0760311711	0.0	0.0112078681	0.0176552189	0.0037455535	0.0303156974	0.0509055272	0.008665916	0.0032401245	0.0682290068	2.4315e-05	0.0416370052	0.0014512293	0.0586801473	0.0113058201	0.6609353269
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses|no rank_environmental samples	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007|no rank_2315857	0.368897858	0.0	0.0	0.0	0.0	0.033157129	0.0	0.0	0.0	0.0	0.0006330126	0.0	0.0	0.0	0.0224155172	0.0	0.0096995878	0.0	0.0229790735	0.0	0.0245001037
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses|no rank_environmental samples|species_uncultured crAssphage	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007|no rank_2315857|species_1211417	0.368897858	0.0	0.0	0.0	0.0	0.033157129	0.0	0.0	0.0	0.0	0.0006330126	0.0	0.0	0.0	0.0224155172	0.0	0.0096995878	0.0	0.0229790735	0.0	0.0245001037
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses|genus_mgv_g_4000103	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007|genus_4000103	0.0102514524	0.0	0.0014273318	0.0264379186	0.0264379186	0.0	0.0	0.0	0.0	0.0034256321	0.0180834531	0.0001415582	0.0	0.0	0.0188715079	0.0	0.0	0.0	0.0006429134	0.0	0.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses|genus_mgv_g_4000103|species_OTU-43613	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007|genus_4000103|species_4051119	0.0090149352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses|genus_mgv_g_4000103|species_OTU-51917	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007|genus_4000103|species_4051188	0.0012363953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0157836188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses|clade_UAG-readthrough crAss clade	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007|clade_2780070	0.0023871058	0.1584423732	0.0	0.0	0.0	0.0098719391	0.0	0.0	0.0	0.0	0.0055049999	0.050763969	0.0	0.0	0.0	0.0	0.0	0.0	0.0137640553	0.0	0.4135799288
no rank_root|superkingdom_Viruses|clade_Duplodnaviria|kingdom_Heunggongvirae|phylum_Uroviricota|class_Caudoviricetes|order_Caudovirales|family_Podoviridae|no rank_unclassified Podoviridae|clade_crAss-like viruses|clade_UAG-readthrough crAss clade|species_crAssphage cr109_1	no rank_1|superkingdom_10239|clade_2731341|kingdom_2731360|phylum_2731618|class_2731619|order_28883|family_10744|no rank_196895|clade_1978007|clade_2780070|species_2772083	0.0023871058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015448908
