Taxon_Lineage_with_Names	Taxon_Lineage_with_IDs	ENT059	ENT065	ENT089	ENT098	ENT108	ENT109	ENT111	ENT118	ENT119	ENT120	ENT121	ENT122	ENT124	ENT125	ENT129	ENT130	ENT131	ENT132	ENT134	ENT135	ENT138
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|no rank_environmental samples|species_uncultured Prevotella sp.	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|no rank_84374|species_159272	0.0013543355821221	0.0	0.0	0.0	0.0	0.0003472403376212	0.0	2.3492384416703474e-05	0.0	0.0	0.0010353126675841	0.0	8.934228783376009e-06	0.0054415093424983	0.0	3.902036117651011e-05	6.917382061788034e-05	0.0025634064587444	2.3937641603854547e-05	6.805242545716728e-05	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|no rank_environmental samples|species_Prevotella sp. CAG:924	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|no rank_84374|species_1262938	0.0013817586362915	2.6422274366042037e-05	3.807256648687989e-05	0.0	0.0	0.0004804171733033	0.0	0.0	0.0	0.0	4.838266164686576e-05	0.0	0.0001859931114701	0.0012402867344519	4.280222331236687e-05	1.3518849610435052e-05	3.110899343996965e-05	0.0004988778698554	0.0002550467843122	0.0001732509321674	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|species_Prevotella copri	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|species_165179	0.0003757472487118	0.0	3.331507627062855e-05	6.043832679716312e-05	6.043832679716312e-05	0.0142259975584314	0.0	4.980941609361472e-06	3.5340271694483546e-06	9.229813278437969e-05	0.0077414848593651	0.0	5.4983255611470784e-05	0.0001662926325081	3.663008758800288e-05	0.0001636178652055	2.4046684635286248e-05	0.0035152981482763	0.0018627652933318	0.0002077850805409	2.140995811794624e-06
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|species_Prevotella hominis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|species_2518605	0.0002107413453446	7.100154680486385e-06	1.1885712107071576e-05	2.328753583438753e-06	2.328753583438753e-06	0.0	0.0	0.0	0.0	0.0	3.971755741695723e-05	0.0	0.0	2.025211866911799e-05	0.0	0.0	4.752544033115473e-05	0.0001057161140742	1.2846438054905984e-05	0.0	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Prevotella|species_Prevotella stercorea	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_838|species_363265	8.317377706425128e-05	4.099522893213863e-05	0.0	0.0	0.0	0.0	0.0	3.967465926490321e-05	6.253717505715286e-05	0.0	0.000414769786327	0.0	0.0	0.0	0.0	3.997922341761111e-05	4.2452607764840826e-06	0.0001273358759071	9.981074133009782e-06	1.9618283578098667e-05	0.0
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Prevotellaceae|genus_Paraprevotella|species_Paraprevotella clara	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_171552|genus_577309|species_454154	1.4794978963911056e-05	0.0	0.0005510723683928	4.8170580388814673e-05	4.8170580388814673e-05	0.0001116300702515	9.502692708758218e-06	0.0	0.0	5.829407026407044e-05	8.147157706880193e-05	6.140215670536313e-05	4.625000698102559e-06	7.330302518777105e-06	4.785995591967402e-05	8.563982314063856e-05	0.0	0.0001052117336283	9.81738632107335e-06	0.000116130027374	2.1340271333424485e-06
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides cellulosilyticus	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_246787	0.0001285840415671	5.2921181564411865e-05	0.0005741645974249	1.2778498616402152e-05	1.2778498616402152e-05	0.0	1.7702765592035878e-05	0.0	0.0	0.0001245334177342	1.5788079617601403e-05	0.0	6.974419163905358e-06	4.776174882257251e-05	0.0001050042099072	0.0013109364203858	0.0004924126460548	0.0027480784656978	1.3862824776156011e-05	0.0019807102376008	6.555612501207806e-05
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides caccae	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_47678	0.0005208659635345	5.301388660013343e-05	0.0006315378877531	8.878737961500356e-05	8.878737961500356e-05	0.0002771226966122	0.0001394160074825	0.0002236571491054	0.0	0.0006410963399756	0.0003057827279438	0.0002116833971736	0.00017512606771	8.566871774423387e-05	0.0003249313148238	0.0049400354781759	0.0010741550840922	0.0009587906567169	0.000170260536817	0.0019894949015975	0.0001939895829752
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides uniformis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_820	0.0006123348900917	0.000136950850411	0.0033047426982677	0.0002678642294782	0.0002678642294782	0.0006142454897784	8.898749200754902e-05	0.0001694123152752	0.000342327651356	0.0016644555998581	0.0003145679206056	0.0003080758917002	0.0004132648735587	0.0019624608694738	0.0025024446480877	0.0008921251958164	0.0035567967628754	0.0005864632180441	0.0003921251636916	0.0013677389904068	1.8976636221111208e-05
no rank_root|no rank_cellular organisms|superkingdom_Bacteria|clade_FCB group|clade_Bacteroidetes/Chlorobi group|phylum_Bacteroidetes|class_Bacteroidia|order_Bacteroidales|family_Bacteroidaceae|genus_Bacteroides|species_Bacteroides fragilis	no rank_1|no rank_131567|superkingdom_2|clade_1783270|clade_68336|phylum_976|class_200643|order_171549|family_815|genus_816|species_817	4.974397812710617e-05	0.0	0.0	1.9893108605713745e-05	1.9893108605713745e-05	0.0	1.1186928106690687e-05	4.5345256059723325e-05	0.0096983544612918	7.801114644838098e-05	1.5118526038603253e-05	0.0	0.0001546132367321	2.044858108607294e-05	9.647480417948624e-05	5.657974219566101e-06	0.0003388234528204	0.0	9.104924668231404e-06	0.0001599167335503	0.0
