Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
ENT059	8891437	650527	8204496	686941
ENT065	1866030	193043	1485619	380411
ENT089	5208462	1384794	3770672	1437790
ENT098	17913421	1858880	15983293	1930128
ENT108	17913421	1858880	15983293	1930128
ENT109	19603850	2119865	17377741	2226109
ENT111	6244882	3408764	2800190	3444692
ENT118	7243156	701082	6520687	722469
ENT119	6985535	1746262	5161420	1824115
ENT120	6100344	2352805	3679029	2421315
ENT121	37231108	6299082	30721345	6509763
ENT122	1108934	74514	1010185	98749
ENT124	11624118	2300508	9300921	2323197
ENT125	39828381	15105937	24283326	15545055
ENT129	2793330	384643	2343109	450221
ENT130	13049723	1129584	11762270	1287453
ENT131	13619597	1938781	11531521	2088076
ENT132	7658347	1926586	5661407	1996940
ENT134	10109101	983712	9004323	1104778
ENT135	13418080	1470129	11885029	1533051
ENT137	2792	261		2792
ENT138	13307950	1140772	11991786	1316164
